"seminar_id","university","discipline","department","condition","total_speakers","speakers_with_demographics","num_urm","num_black","num_hispanic","num_native_american","num_female","num_male","num_white","num_asian","pct_urm","pct_black","pct_hispanic","pct_native_american","pct_female","pct_male","pct_white","pct_asian","has_any_urm","has_any_black","has_any_hispanic","has_any_native_american","has_any_female","num_junior_speakers","num_senior_speakers","num_black_junior","num_black_senior","num_hispanic_junior","num_hispanic_senior","num_urm_junior","num_urm_senior","pct_black_junior","pct_black_senior","pct_hispanic_junior","pct_hispanic_senior","pct_urm_junior","pct_urm_senior","has_any_black_junior","has_any_black_senior","has_any_hispanic_junior","has_any_hispanic_senior","has_any_urm_junior","has_any_urm_senior","has_fall_speakers","has_spring_speakers","fall_total_speakers","fall_speakers_with_demographics","fall_num_urm","fall_num_black","fall_num_hispanic","fall_num_female","fall_pct_urm","fall_pct_black","fall_pct_hispanic","fall_pct_female","spring_total_speakers","spring_speakers_with_demographics","spring_num_urm","spring_num_black","spring_num_hispanic","spring_num_female","spring_pct_urm","spring_pct_black","spring_pct_hispanic","spring_pct_female","num_speakers_with_phd_year","pct_speakers_with_phd_year","mean_years_from_phd","median_years_from_phd","min_years_from_phd","max_years_from_phd","num_current_students","pct_current_students","treatment","department_std","bin_category","batch_number","total_faculty","urm_faculty","women_faculty","frac_urm_faculty","frac_women_faculty","dept_ranking","general_ranking","missing_dept_rank","num_recipients","total_peer_departments","total_urm_peer_faculty","pct_female_recipients","pct_urm_recipients","pct_black_recipients","pct_hispanic_recipients","pct_assistant_prof_recipients","num_email_recipients_analyzed","num_distinct_seminars","bin_7_11","bin_1_3","bin_17_26","bin_3_5","bin_5_7","bin_0_1","batch_1","batch_2","batch_3","batch_4","batch_5","batch_6","batch_7","batch_8","batch_9","disc_mathematics","disc_physics","disc_computer_science","disc_mechanical_engineering","bin_11_17","num_non_urm","fall_num_non_urm","spring_num_non_urm","num_non_black","num_non_hispanic","num_non_female","fall_num_non_black","fall_num_non_hispanic","fall_num_non_female","spring_num_non_black","spring_num_non_hispanic","spring_num_non_female","pct_non_urm","fall_pct_non_urm","spring_pct_non_urm","has_any_non_urm","fall_has_any_urm","spring_has_any_urm","fall_has_any_non_urm","spring_has_any_non_urm","fall_has_any_black","spring_has_any_black","fall_has_any_hispanic","spring_has_any_hispanic","fall_has_any_female","spring_has_any_female","pct_speakers","has_speakers","pct_urm_female","approx_num_urm_female","has_any_urm_female","pct_black_female","approx_num_black_female","has_any_black_female","pct_black_male","approx_num_black_male","has_any_black_male","pct_hispanic_female","approx_num_hispanic_female","has_any_hispanic_female","pct_hispanic_male","approx_num_hispanic_male","has_any_hispanic_male"
"db226d-ee03c6-95","Graduate Center, CUNY","Mathematics","Graduate Center, CUNY-Mathematics","treatment",11,11,1,0,1,0,2,9,10,0,9.09090909090909,0,9.09090909090909,0,18.1818181818182,81.8181818181818,90.9090909090909,0,1,0,1,0,1,3,7,0,0,1,0,1,0,0,0,33.3333333333333,0,33.3333333333333,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,11,11,1,0,1,2,9.09090909090909,0,9.09090909090909,18.1818181818182,10,90.9090909090909,24.4,23,5,42,0,0,1,"Graduate Center, CUNY-Mathematics","(17,26]",10,108,4,17,0.037037037037037,0.157407407407407,44,86,0,22,40,39,0.0312,0.0625,0,0.0625,0,32,21,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,10,0,10,11,10,9,0,0,0,11,10,9,90.9090909090909,0,90.9090909090909,1,0,1,0,1,0,0,0,1,0,1,100,1,1.65289256198347,0,0,0,0,0,0,0,0,1.65289256198347,0,0,7.43801652892562,1,1
"db7ee6-0de6c7-e2","Ohio State University","Physics","Ohio State University-Physics","treatment",2,2,0,0,0,0,0,2,1,1,0,0,0,0,0,100,50,50,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,100,4.5,4.5,2,7,0,0,1,"Ohio State University-Physics","(7,11]",10,56,1,9,0.0178571428571429,0.160714285714286,31,44,0,6,40,42,0.0196,0,0,0,0,51,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,1,2,2,2,1,1,1,1,1,1,100,100,100,1,0,0,1,1,0,0,0,0,0,0,100,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"db8a87-3c76c4-07","University of Maryland, College Park","Computer Science","University of Maryland, College Park-Computer Science","treatment",4,4,0,0,0,0,1,3,3,1,0,0,0,0,25,75,75,25,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,0,0,0,1,0,0,0,50,2,2,0,0,0,0,0,0,0,0,4,100,11,15,1,17,1,25,1,"University of Maryland, College Park-Computer Science","(3,5]",5,66,1,11,0.0151515151515152,0.166666666666667,18,46,0,5,40,34,0.2,0,0,0,0,5,3,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,4,2,2,4,4,3,2,2,1,2,2,2,100,100,100,1,0,0,1,1,0,0,0,0,1,0,100,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"db9cf3-552ad4-dd","University of North Texas","Mathematics","University of North Texas-Mathematics","treatment",7,7,1,0,1,0,2,5,4,2,14.2857142857143,0,14.2857142857143,0,28.5714285714286,71.4285714285714,57.1428571428571,28.5714285714286,1,0,1,0,1,4,2,0,0,0,1,0,1,0,0,0,50,0,50,0,0,0,1,0,1,1,0,7,7,1,0,1,2,14.2857142857143,0,14.2857142857143,28.5714285714286,0,0,0,0,0,0,0,0,0,0,6,85.7142857142857,8.25,8,5,12,2,33.3333333333333,1,"University of North Texas-Mathematics","(1,3]",8,25,0,5,0,0.2,136,135,0,2,40,19,0,0,0,0,0,2,3,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,6,6,0,7,6,5,7,6,5,0,0,0,85.7142857142857,85.7142857142857,0,1,1,0,1,0,0,0,1,0,1,0,100,1,4.08163265306122,0,0,0,0,0,0,0,0,4.08163265306122,0,0,10.2040816326531,1,1
"dbbef8-3ed7e6-b5","Brown University","Mathematics","Brown University-Mathematics","control",35,35,2,0,2,0,4,31,17,16,5.71428571428571,0,5.71428571428571,0,11.4285714285714,88.5714285714286,48.5714285714286,45.7142857142857,1,0,1,0,1,16,16,0,0,0,2,0,2,0,0,0,12.5,0,12.5,0,0,0,1,0,1,1,1,33,33,2,0,2,4,6.06060606060606,0,6.06060606060606,12.1212121212121,2,2,0,0,0,0,0,0,0,0,34,97.1428571428571,11.5769230769231,7.5,1,42,8,23.5294117647059,0,"Brown University-Mathematics","(7,11]",5,20,1,4,0.05,0.2,14,9,0,10,40,34,0.1,0,0,0,0,10,11,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,33,31,2,35,33,31,33,31,29,2,2,2,94.2857142857143,93.9393939393939,100,1,1,0,1,1,0,0,1,0,1,0,100,1,0.653061224489796,0,0,0,0,0,0,0,0,0.653061224489796,0,0,5.06122448979592,2,1
"dbd0f5-f5a008-99","University of Notre Dame","Chemistry","University of Notre Dame-Chemistry","treatment",24,24,4,1,3,0,10,14,15,5,16.6666666666667,4.16666666666667,12.5,0,41.6666666666667,58.3333333333333,62.5,20.8333333333333,1,1,1,0,1,16,8,0,1,2,1,2,2,0,12.5,12.5,12.5,12.5,25,0,1,1,1,1,1,1,1,4,4,0,0,0,2,0,0,0,50,20,20,4,1,3,8,20,5,15,40,24,100,11.55,10.5,6,22,4,16.6666666666667,1,"University of Notre Dame-Chemistry","(1,3]",6,41,1,10,0.024390243902439,0.24390243902439,44,20,0,2,40,32,0.5,0,0,0,0,2,3,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,20,4,16,23,21,14,4,4,2,19,17,12,83.3333333333333,100,80,1,0,1,1,1,0,1,0,1,1,1,100,1,6.94444444444444,2,1,1.73611111111111,0,0,2.43055555555556,1,1,5.20833333333333,1,1,7.29166666666667,2,1
"dc2ced-2906a5-dc","Stanford University","Physics","Stanford University-Physics","control",22,22,0,0,0,0,4,18,18,4,0,0,0,0,18.1818181818182,81.8181818181818,81.8181818181818,18.1818181818182,0,0,0,0,1,7,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,8,8,0,0,0,1,0,0,0,12.5,14,14,0,0,0,3,0,0,0,21.4285714285714,20,90.9090909090909,29.3,26.5,6,64,0,0,0,"Stanford University-Physics","[0,1]",9,41,1,8,0.024390243902439,0.195121951219512,2,4,0,2,40,50,0.5,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,22,8,14,22,22,18,8,8,7,14,14,11,100,100,100,1,0,0,1,1,0,0,0,0,1,1,100,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dc9d86-ed5328-15","Iowa State University","Mathematics","Iowa State University-Mathematics","control",27,27,4,1,3,0,6,21,15,8,14.8148148148148,3.7037037037037,11.1111111111111,0,22.2222222222222,77.7777777777778,55.5555555555556,29.6296296296296,1,1,1,0,1,9,8,0,0,1,1,1,1,0,0,11.1111111111111,12.5,11.1111111111111,12.5,0,0,1,1,1,1,1,1,13,13,1,0,1,3,7.69230769230769,0,7.69230769230769,23.0769230769231,14,14,3,1,2,3,21.4285714285714,7.14285714285714,14.2857142857143,21.4285714285714,20,74.0740740740741,7.30769230769231,7,1,25,7,35,0,"Iowa State University-Mathematics","(5,7]",10,28,0,3,0,0.107142857142857,75,90,0,8,40,31,0,0,0,0,0,9,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,23,12,11,26,24,21,13,12,10,13,12,11,85.1851851851852,92.3076923076923,78.5714285714286,1,1,1,1,1,0,1,1,1,1,1,100,1,3.29218106995885,1,1,0.823045267489712,0,0,2.88065843621399,1,1,2.46913580246914,1,1,8.64197530864198,2,1
"dcd903-e43435-91","University of Florida","Chemistry","University of Florida-Chemistry","control",42,42,3,3,0,0,9,33,27,12,7.14285714285714,7.14285714285714,0,0,21.4285714285714,78.5714285714286,64.2857142857143,28.5714285714286,1,1,0,0,1,14,24,1,2,0,0,1,2,7.14285714285714,8.33333333333333,0,0,7.14285714285714,8.33333333333333,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,42,42,3,3,0,9,7.14285714285714,7.14285714285714,0,21.4285714285714,39,92.8571428571429,18.5925925925926,15,1,50,12,30.7692307692308,0,"University of Florida-Chemistry","[0,1]",7,45,1,7,0.0222222222222222,0.155555555555556,34,30,0,2,40,26,0,0,0,0,0,48,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,39,0,39,39,42,33,0,0,0,39,42,33,92.8571428571429,0,92.8571428571429,1,0,1,0,1,0,1,0,0,0,1,100,1,1.53061224489796,1,1,1.53061224489796,1,1,5.61224489795918,2,1,0,0,0,0,0,0
"dd20fd-0c13b6-62","Oregon State University","Mathematics","Oregon State University-Mathematics","treatment",17,17,0,0,0,0,2,15,10,7,0,0,0,0,11.7647058823529,88.2352941176471,58.8235294117647,41.1764705882353,0,0,0,0,1,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,4,0,0,0,0,0,0,0,0,13,13,0,0,0,2,0,0,0,15.3846153846154,15,88.2352941176471,16.5333333333333,7,3,46,0,0,1,"Oregon State University-Mathematics","(7,11]",10,24,1,9,0.0416666666666667,0.375,94,104,0,1,40,28,0,0,0,0,0,1,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,17,4,13,17,17,15,4,4,4,13,13,11,100,100,100,1,0,0,1,1,0,0,0,0,0,1,100,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
