seminar_id,university,discipline,seminar_name,treatment,clicked,num_click_sources
230c42-18b349-86,Carnegie Mellon University,Mathematics,Probability/Math Finance Seminar,1,0,0
235413-77381d-74,University of Colorado Boulder,Physics,Nuclear/Particle Physics Seminars,0,1,1
239860-b2b400-44,Tulane University,Chemistry,Chemistry Seminars,0,0,0
23a36e-69b407-1e,Pennsylvania State University,Physics,Physics Colloquia,0,0,0
23b4cd-a54bb7-b8,University of Notre Dame,Mathematics,Topology Seminars,1,1,2
242ac9-6e29b2-67,University of Michigan,Mathematics,Logic,1,1,1
247c10-ca0668-ce,Northwestern University,Mathematics,Dynamical Systems Seminar,1,0,0
249308-980400-28,University of Chicago,Mathematics,Computations in Science Seminars,0,1,1
249470-3fa383-98,Pennsylvania State University,Mathematics,Computational and Applied Mathematics Colloquium,0,0,0
24ce84-6a64c2-bd,University of Michigan,Physics,Biophysics,1,1,1
24e5fe-8957fe-3c,University at Buffalo,Mathematics,Applied Math Seminar,0,1,1
24ea37-a9ded1-11,Rice University,Mathematics,Analysis Seminar,1,0,0
24efab-827d6c-e1,Georgia Institute of Technology,Chemistry,Colloquium Seminar,1,1,1
25339d-784088-07,University of Notre Dame,Mathematics,Logic Seminars,1,1,1
255e18-fa2507-67,Tufts University,Physics,Condensed Matter Seminar,1,0,0
256909-179d98-d1,University of Connecticut,Physics,Condensed Matter Physics Seminar,1,0,0
256e9f-28c591-16,University of New Mexico,Computer Science,Computer Science Colloquium Series,1,0,0
2570c3-528877-76,Boston University,Physics,HEE Seminar,0,0,0
259310-60d7ea-1d,University of Texas at Dallas,Mathematics,Colloquium,1,0,0
25c262-8f8251-d0,"Graduate Center, CUNY",Mathematics,Combinatorics Seminar,1,0,0
25ecbf-8944f9-39,Princeton University,Chemistry,Catalysis/Synthesis Seminar,1,1,1
2612b4-ca5ac1-47,University of Utah,Chemistry,Seminars,1,0,0
269f60-9743d8-c0,Ohio State University,Mathematics,Quantum Symmetry Seminar,1,0,0
2719a6-c7fe27-38,University of Wisconsin-Madison,Mathematics,Algebra and Algebraic Geometry,0,0,0
271ebe-13a861-2a,University of Michigan,Physics,Saturday Morning Physics,1,1,1
273fa2-5060ca-c8,Rensselaer Polytechnic Institute,Mathematics,Colloquium,1,0,0
275a9b-117962-2d,University of Michigan,Chemistry,Inorganic Chemistry Events,1,1,1
277204-7c5825-e2,University of Wisconsin-Madison,Physics,Astronomy Colloquium,0,0,0
278db4-02d7d5-e4,University of Alabama at Birmingham,Mathematics,Colloquium,0,1,1
27f1e7-f97c46-86,Cornell University,Mathematics,Discrete Geometry and Combinatorics Seminar,0,1,2
27fbdf-258406-7b,University of Virginia,Mathematics,Algebra Seminar,0,0,0
282006-c4871c-c8,Arizona State University,Chemistry,Chemical Engineering Seminars,0,1,1
28299d-f555ed-05,University of Michigan,Chemistry,Analytical Chemistry Events,1,1,1
28327b-02544c-61,Ohio State University,Physics,Center for Cosmology and AstropParticle Physics,1,0,0
283950-c8da24-ee,University of Michigan,Physics,HET (High-Energy Transformation) Seminars,1,1,1
286adc-8b7e57-da,University of Tennessee,Mathematics,CAM Seminar,0,1,1
287587-a536b6-92,Boston University,Computer Science,CISE Seminar Series,1,1,1
289207-9b98ab-c3,"University of California, Los Angeles",Physics,BLYSS Seminars,1,1,2
28aa3d-1acaa4-b9,Harvard University,Physics,LPPC Seminar,1,1,1
28db97-87a6e9-21,Arizona State University,Physics,Biological Physics Seminar,1,1,1
2917a9-10c521-36,Stony Brook University,Physics,Astronomy Open Nights,1,0,0
2a3bb1-3ffdb0-2a,Dartmouth College,Mathematics,Applied and Computational Mathematics Seminar,1,1,1
2a4362-a16ae7-07,University of Illinois Chicago,Mathematics,Seminars,0,1,1
2a447b-1b6ad2-e8,University of Illinois Chicago,Mechanical Engineering,Seminars,1,0,0
2a5bc9-cc81b4-5e,University of Kansas,Chemistry,Departmental Seminars,0,1,1
2a8559-6c649c-0b,University of Texas at Arlington,Chemistry,Seminar Series,1,0,0
2aca4e-ee5d9c-88,University of Missouri,Mathematics,Algebra Seminar,0,1,1
2b17d0-21e67b-da,"University of California, Santa Barbara",Chemistry,Materials Seminar,1,1,1
2b4cc5-6b1915-92,Northwestern University,Mathematics,Algebraic Geometry Seminar,1,0,0
2b64a2-439aff-3c,University of Virginia,Physics,Gravity Seminars,0,0,0
2b6f21-88b562-82,Harvard University,Physics,CUA Seminar Series,1,1,1
2ba917-158630-c2,"University of California, Los Angeles",Mechanical Engineering,MAE Department Seminar,0,0,0
2baa2e-bd8e39-bc,University of Michigan,Mathematics,Geometry,1,1,1
2bb577-beec08-36,Tufts University,Physics,Colloquium,1,0,0
2bcbfb-c365c7-42,"University of California, Berkeley",Mathematics,Chern Lectures,1,1,1
2be995-e1ff50-6a,"University of California, Davis",Physics,Physics Colloquium,0,0,0
2bf4a9-cf5a5d-cb,University of Illinois Urbana-Champaign,Physics,Anthony J. Leggett Institute for Condensed Matter Physics Seminar,1,1,2
2c76c7-e003bf-44,"University of Maryland, College Park",Mathematics,Dynamics Seminar,0,1,1
2cbcb0-7f6dad-b0,Kansas State University,Physics,"Condensed, Soft, and Biological Matter Seminars",1,1,2
2cd9d5-da6688-08,Brown University,Mechanical Engineering,Fluids Seminar,1,0,0
