Long URL,Tags,UTM Campaign
https://upenn.co1.qualtrics.com/jfe/form/SV_eXKiNxD0EZdiQRw,search-costs-final,MC-940ef40d-9272-4705-acdc-5181d1e89d51
https://upenn.co1.qualtrics.com/jfe/form/SV_cO1KgPwFvS35UB8,search-costs-final,AT-cf06b2ac-b042-47cb-9a89-83b84db97bc7
https://upenn.co1.qualtrics.com/jfe/form/SV_556wNdOiCPMcDkO,search-costs-final,HT-20f38fc8-138b-4034-a7cd-c51e4809205f
https://upenn.co1.qualtrics.com/jfe/form/SV_8jePppdXhNM9Ulo,search-costs-final,PC-b2c95312-4924-4b43-99ba-014b54bbbdab
https://upenn.co1.qualtrics.com/jfe/form/SV_8Jj8WIZJrhd5y8C,search-costs-final,AC-868f723e-ef2b-489e-ac83-33734632ff91
https://upenn.co1.qualtrics.com/jfe/form/SV_8Jj8WIZJrhd5y8C,search-costs-final,AC-cab1b092-8acb-4422-b1a6-6c59e7dcede9
https://upenn.co1.qualtrics.com/jfe/form/SV_cO1KgPwFvS35UB8,search-costs-final,AT-5ae4f849-ba31-4c76-99d9-28ce5cf8c2a6
https://upenn.co1.qualtrics.com/jfe/form/SV_8Jj8WIZJrhd5y8C,search-costs-final,AC-ba38503e-2e4c-489d-a311-04e775a817b6
https://upenn.co1.qualtrics.com/jfe/form/SV_4JEt5BKaoDmtnXE,search-costs-final,HC-d78a8a14-ea3f-4d6d-a071-96030bc0a833
https://upenn.co1.qualtrics.com/jfe/form/SV_4JEt5BKaoDmtnXE,search-costs-final,HC-da3d7e0f-e84c-4217-9ad9-fc5e391a01d7
https://upenn.co1.qualtrics.com/jfe/form/SV_cO1KgPwFvS35UB8,search-costs-final,AT-55f07ed2-474c-4a85-aaf9-13229da1a5e7
https://upenn.co1.qualtrics.com/jfe/form/SV_556wNdOiCPMcDkO,search-costs-final,HT-e33e6890-67f2-45ca-81f0-1ce7c167d0c9
https://upenn.co1.qualtrics.com/jfe/form/SV_556wNdOiCPMcDkO,search-costs-final,HT-04d382b8-9ee7-446e-9580-e1fb8548c5dd
https://upenn.co1.qualtrics.com/jfe/form/SV_cO2cH592NPXb8t8,search-costs-final,ST-985522dc-85da-4057-84c2-eb5486641964
https://upenn.co1.qualtrics.com/jfe/form/SV_8Jj8WIZJrhd5y8C,search-costs-final,AC-d2b06da1-ccee-42f4-b6e9-71a420667841
https://upenn.co1.qualtrics.com/jfe/form/SV_cO1KgPwFvS35UB8,search-costs-final,AT-4d6cc3dd-9e04-43e0-bb45-bc4c69c26190
https://upenn.co1.qualtrics.com/jfe/form/SV_8Jj8WIZJrhd5y8C,search-costs-final,AC-834b07d6-6fcc-454c-87a3-1bb2bd1dc918
https://upenn.co1.qualtrics.com/jfe/form/SV_eXKiNxD0EZdiQRw,search-costs-final,MC-629b7643-04be-4878-96ea-995b5b1bd980
https://upenn.co1.qualtrics.com/jfe/form/SV_556wNdOiCPMcDkO,search-costs-final,HT-9dac8f07-eeef-4e15-baa7-488623548c70
https://upenn.co1.qualtrics.com/jfe/form/SV_efjipNLwqTeo6zk,search-costs-final,MT-4a80fa24-e9b7-4dfa-978f-64034c72da3a
https://upenn.co1.qualtrics.com/jfe/form/SV_556wNdOiCPMcDkO,search-costs-final,HT-bc230764-6044-4a77-a7e3-d5cdcb56b040
https://upenn.co1.qualtrics.com/jfe/form/SV_8Jj8WIZJrhd5y8C,search-costs-final,AC-54c54d93-8762-40f9-9870-59ea54424558
https://upenn.co1.qualtrics.com/jfe/form/SV_eXKiNxD0EZdiQRw,search-costs-final,MC-d886cbec-06e9-429c-9208-056b3c7b8b67
https://upenn.co1.qualtrics.com/jfe/form/SV_72LvDjIUQLpQlsW,search-costs-final,SC-d126be8b-3cf7-465c-a984-0588248e17aa
https://upenn.co1.qualtrics.com/jfe/form/SV_cO1KgPwFvS35UB8,search-costs-final,AT-928c9edf-3318-422c-8c59-8cfca4c28765
https://upenn.co1.qualtrics.com/jfe/form/SV_8Jj8WIZJrhd5y8C,search-costs-final,AC-2d737019-2b02-4af0-bd58-7babb7ad5395
https://upenn.co1.qualtrics.com/jfe/form/SV_8Jj8WIZJrhd5y8C,search-costs-final,AC-72788504-9389-4f7c-86fa-edd2c0b580eb
https://upenn.co1.qualtrics.com/jfe/form/SV_cO1KgPwFvS35UB8,search-costs-final,AT-6b832777-afbc-4baa-b062-6a66246462fa
https://upenn.co1.qualtrics.com/jfe/form/SV_556wNdOiCPMcDkO,search-costs-final,HT-e0e3c932-9890-4ded-ad16-482eac4411d0
https://upenn.co1.qualtrics.com/jfe/form/SV_eXKiNxD0EZdiQRw,search-costs-final,MC-e48b810e-f0c4-409e-af38-4ad983eeeebe
https://upenn.co1.qualtrics.com/jfe/form/SV_cO1KgPwFvS35UB8,search-costs-final,AT-c750dcd6-48a0-4527-9491-896b92cea4e9
https://upenn.co1.qualtrics.com/jfe/form/SV_8jePppdXhNM9Ulo,search-costs-final,PC-47163a1e-2ad2-424e-bc32-07e1922c364a
https://upenn.co1.qualtrics.com/jfe/form/SV_cO6FTfuAZLMvZRQ,search-costs-final,PT-88963d28-99cc-4edd-b789-2b5990f33515
https://upenn.co1.qualtrics.com/jfe/form/SV_efjipNLwqTeo6zk,search-costs-final,MT-85c211b2-17bd-4245-8a7e-f2e2c69fba19
https://upenn.co1.qualtrics.com/jfe/form/SV_8jePppdXhNM9Ulo,search-costs-final,PC-6a9af174-d80c-4b6b-ab31-c5bdcf9e3dc5
