seminar_link,university,department,seminar name,university,department,seminar name
https://calendar.colorado.edu/group/chemistry/calendar/month/2023/9,University of Colorado Boulder,Chemistry,Analytical Chemistry Seminars,University of Colorado Boulder,Chemistry,Analytical Chemistry Seminars
https://calendar.csail.mit.edu/seminar_series/12405,Massachusetts Institute of Technology,Computer Science,HCI Seminar Series,Massachusetts Institute of Technology,Computer Science,HCI Seminar Series
https://calendar.missouri.edu/department/chemistry/calendar/day/2023/8/1?card_size=big&days=153&experience=,University of Missouri,Chemistry,Colloquium Seminars,University of Missouri,Chemistry,Colloquium Seminars
https://calendar.northeastern.edu/event/chemistry_chemical_biology_dept_seminar_8960,Northeastern University,Chemistry,Chemistry & Chemical Biology Dept. Seminar,Northeastern University,Chemistry,Chemistry & Chemical Biology Dept. Seminar
https://calendar.ohio.edu/search/events?past=1&search=mathematics,Ohio University,Mathematics,Colloquium and Seminar,Ohio University,Mathematics,Colloquium and Seminar
https://calendar.syracuse.edu/events/?view=past&page=1&organizer=10359&_gl=1*crghpx*_gcl_au*NTE0Nzk0MTczLjE3MDk5MTUyMzg.,Syracuse University,Chemistry,Chemistry Colloquium,Syracuse University,Chemistry,Chemistry Colloquium
https://calendar.syracuse.edu/events/?view=past&page=1&organizer=10373,Syracuse University,Physics,Quantum Information Science and Engineering Seminar,Syracuse University,Physics,Quantum Information Science and Engineering Seminar
https://calendar.utdallas.edu/search/events?search=%22Seminar+Series%22,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
https://calendar.utdallas.edu/search/events?search=%22Seminar+Series%22,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
https://calendar.utk.edu/department/mathematics/calendar/month/2023/11,University of Tennessee,Mathematics,Analysis Seminar,University of Tennessee,Mathematics,Analysis Seminar
https://calendar.utk.edu/department/mathematics/calendar/month/2023/11,University of Tennessee,Mathematics,Analysis Seminar,University of Tennessee,Mathematics,Analysis Seminar
https://calendar.utk.edu/department/mathematics/calendar/month/2023/11,University of Tennessee,Mathematics,Analysis Seminar,University of Tennessee,Mathematics,Analysis Seminar
https://calendar.utk.edu/department/mathematics/calendar/month/2023/11,University of Tennessee,Mathematics,Analysis Seminar,University of Tennessee,Mathematics,Analysis Seminar
https://calendars.illinois.edu/list/522?skinId=46169,University of Illinois Urbana-Champaign,Chemistry,Analytical Chemistry Seminars,University of Illinois Urbana-Champaign,Chemistry,Analytical Chemistry Seminars
https://cam.uchicago.edu/events/cam-colloquium,University of Chicago,Mathematics,Computational and Applied Mathematics Colloquium,University of Chicago,Mathematics,Computational and Applied Mathematics Colloquium
https://case.fiu.edu/physics/seminars/,Florida International University,Physics,Physics Seminars,Florida International University,Physics,Physics Seminars
https://caswiki.johnshopkins.edu/index.php/CAS_Wine_and_Cheese_Seminars,Johns Hopkins University,Physics,JHU/STScI CAS Wine & Cheese Seminars,Johns Hopkins University,Physics,JHU/STScI CAS Wine & Cheese Seminars
https://cbe.unm.edu/events/index.html,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
https://cce.caltech.edu/news-and-events/cce-seminars/chemical-physics,California Institute of Technology,Chemistry,CCE Seminars: Chemical Physics,California Institute of Technology,Chemistry,CCE Seminars: Chemical Physics
https://cce.caltech.edu/news-and-events/cce-seminars/inorganic-chemistry/inorganic-electrochemical-seminar,California Institute of Technology,Chemistry,CCE Seminars: Inorganic-Electrochemical Seminar,California Institute of Technology,Chemistry,CCE Seminars: Inorganic-Electrochemical Seminar
https://cce.caltech.edu/news-and-events/cce-seminars/organic-chemistry/organic-chemistry,California Institute of Technology,Chemistry,CCE Seminars: Organic Chemistry Seminar,California Institute of Technology,Chemistry,CCE Seminars: Organic Chemistry Seminar
https://ceas.uc.edu/academics/departments/mechanical-materials-engineering/speakers.html,University of Cincinnati,Mechanical Engineering,Speakers,University of Cincinnati,Mechanical Engineering,Speakers
