"","department","seminar_count","bin_category","condition"
"527","Yale University-Mathematics",9,"(7,11]","control"
"528","Ohio State University-Physics",10,"(7,11]","treatment"
"529","University of Houston-Mathematics",10,"(7,11]","treatment"
"530","University of Michigan-Computer Science",10,"(7,11]","treatment"
"531","University of Virginia-Mathematics",10,"(7,11]","control"
"532","University of Wisconsin-Madison-Physics",10,"(7,11]","control"
"533","Brown University-Mathematics",11,"(7,11]","control"
"534","New York University-Mathematics",11,"(7,11]","control"
"535","University of Georgia-Mathematics",11,"(7,11]","treatment"
"536","University of Illinois Urbana-Champaign-Physics",11,"(7,11]","treatment"
"537","University of Michigan-Physics",11,"(7,11]","treatment"
"538","University of Minnesota-Mathematics",11,"(7,11]","treatment"
"539","University of Pennsylvania-Mathematics",11,"(7,11]","control"
"540","Louisiana State University-Mathematics",12,"(11,17]","treatment"
"541","Stanford University-Mathematics",12,"(11,17]","treatment"
"542","University of Arizona-Mathematics",12,"(11,17]","treatment"
"543","University of California, Los Angeles-Physics",12,"(11,17]","treatment"
"544","University of Colorado Boulder-Mathematics",12,"(11,17]","control"
"545","University of Washington-Mathematics",12,"(11,17]","treatment"
"546","Michigan State University-Mathematics",13,"(11,17]","control"
"547","Rutgers University-New Brunswick-Mathematics",13,"(11,17]","control"
"548","Stony Brook University-Mathematics",13,"(11,17]","control"
"549","Stony Brook University-Physics",13,"(11,17]","treatment"
"550","University of California, Davis-Mathematics",13,"(11,17]","control"
"551","University of California, San Diego-Mathematics",13,"(11,17]","treatment"
"552","Texas A&M University-Mathematics",14,"(11,17]","treatment"
"553","University of California, Berkeley-Chemistry",14,"(11,17]","treatment"
"554","University of Massachusetts Amherst-Mathematics",15,"(11,17]","control"
"555","Massachusetts Institute of Technology-Mathematics",16,"(11,17]","control"
"556","Pennsylvania State University-Mathematics",16,"(11,17]","control"
"557","University of California, Irvine-Mathematics",16,"(11,17]","control"
"558","University of Chicago-Mathematics",16,"(11,17]","control"
"559","University of Maryland, College Park-Mathematics",16,"(11,17]","control"
"560","University of Wisconsin-Madison-Mathematics",16,"(11,17]","control"
"561","Columbia University-Mathematics",17,"(11,17]","treatment"
"562","Ohio State University-Mathematics",17,"(11,17]","treatment"
"563","Rutgers University-New Brunswick-Physics",18,"(17,26]","control"
"564","University of Michigan-Mathematics",20,"(17,26]","treatment"
"565","Princeton University-Mathematics",21,"(17,26]","control"
"566","University of California, Los Angeles-Mathematics",21,"(17,26]","control"
"567","Graduate Center, CUNY-Mathematics",22,"(17,26]","treatment"
"568","University of California, Berkeley-Mathematics",26,"(17,26]","treatment"
