department,num_email_recipients,num_female_recipients,pct_female_recipients,num_urm_recipients,pct_urm_recipients,num_black_recipients,pct_black_recipients,num_hispanic_recipients,pct_hispanic_recipients,num_assistant_prof_recipients,pct_assistant_prof_recipients,department_clean
Colorado School of Mines-Mechanical Engineering,2,1,0.5,0,0.0,0,0.0,0,0.0,0,0.0,Mechanical Engineering-Colorado School of Mines
Colorado School of Mines-Physics,2,1,0.5,0,0.0,0,0.0,0,0.0,0,0.0,Physics-Colorado School of Mines
Colorado State University-Chemistry,2,1,0.5,0,0.0,0,0.0,0,0.0,0,0.0,Chemistry-Colorado State University
Colorado State University-Computer Science,2,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,Computer Science-Colorado State University
Colorado State University-Mathematics,11,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,Mathematics-Colorado State University
Colorado State University-Physics,2,1,0.5,0,0.0,0,0.0,0,0.0,0,0.0,Physics-Colorado State University
Columbia University-Chemistry,4,1,0.25,0,0.0,0,0.0,0,0.0,0,0.0,Chemistry-Columbia University
Columbia University-Computer Science,3,1,0.3333,1,0.3333,1,0.3333,0,0.0,0,0.0,Computer Science-Columbia University
Columbia University-Mathematics,27,2,0.0741,1,0.037,1,0.037,0,0.0,0,0.0,Mathematics-Columbia University
Columbia University-Mechanical Engineering,2,1,0.5,1,0.5,1,0.5,0,0.0,0,0.0,Mechanical Engineering-Columbia University
Columbia University-Physics,8,1,0.125,1,0.125,0,0.0,1,0.125,0,0.0,Physics-Columbia University
Cornell University-Chemistry,2,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,Chemistry-Cornell University
Cornell University-Computer Science,8,3,0.375,1,0.125,0,0.0,1,0.125,0,0.0,Computer Science-Cornell University
Cornell University-Mathematics,13,1,0.0769,1,0.0769,0,0.0,1,0.0769,0,0.0,Mathematics-Cornell University
Cornell University-Mechanical Engineering,2,1,0.5,1,0.5,1,0.5,0,0.0,0,0.0,Mechanical Engineering-Cornell University
Cornell University-Physics,5,3,0.6,0,0.0,0,0.0,0,0.0,0,0.0,Physics-Cornell University
Dartmouth College-Chemistry,2,1,0.5,0,0.0,0,0.0,0,0.0,0,0.0,Chemistry-Dartmouth College
Dartmouth College-Mathematics,8,2,0.25,1,0.125,0,0.0,1,0.125,0,0.0,Mathematics-Dartmouth College
Dartmouth College-Physics,2,1,0.5,0,0.0,0,0.0,0,0.0,0,0.0,Physics-Dartmouth College
Drexel University-Mathematics,3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,Mathematics-Drexel University
Drexel University-Mechanical Engineering,2,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,Mechanical Engineering-Drexel University
Duke University-Chemistry,3,2,0.6667,0,0.0,0,0.0,0,0.0,0,0.0,Chemistry-Duke University
Duke University-Computer Science,4,1,0.25,0,0.0,0,0.0,0,0.0,0,0.0,Computer Science-Duke University
Duke University-Mathematics,2,1,0.5,0,0.0,0,0.0,0,0.0,0,0.0,Mathematics-Duke University
Duke University-Mechanical Engineering,2,2,1.0,0,0.0,0,0.0,0,0.0,0,0.0,Mechanical Engineering-Duke University
Emory University-Chemistry,2,1,0.5,1,0.5,1,0.5,0,0.0,0,0.0,Chemistry-Emory University
Emory University-Mathematics,11,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,Mathematics-Emory University
Emory University-Physics,2,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,Physics-Emory University
Florida International University-Chemistry,2,1,0.5,1,0.5,0,0.0,1,0.5,0,0.0,Chemistry-Florida International University
Florida International University-Mathematics,5,1,0.2,1,0.2,0,0.0,1,0.2,0,0.0,Mathematics-Florida International University
Florida International University-Physics,2,1,0.5,1,0.5,0,0.0,1,0.5,0,0.0,Physics-Florida International University
