department,num_female_urm,num_female_total,pct_urm_among_female,treatment,bin_category
Kansas State University-Physics,0,1,0.0,1.0,"(1,3]"
Kent State University-Chemistry,0,1,0.0,1.0,"[0,1]"
Kent State University-Mathematics,0,1,0.0,0.0,"(3,5]"
Louisiana State University-Chemistry,0,1,0.0,1.0,"(3,5]"
Louisiana State University-Computer Science,0,1,0.0,0.0,"[0,1]"
Louisiana State University-Mathematics,0,1,0.0,1.0,"(11,17]"
Louisiana State University-Physics,0,1,0.0,0.0,"[0,1]"
Massachusetts Institute of Technology-Chemistry,1,2,0.5,1.0,"(3,5]"
Massachusetts Institute of Technology-Computer Science,0,2,0.0,0.0,"(3,5]"
Massachusetts Institute of Technology-Mathematics,0,1,0.0,0.0,"(11,17]"
Massachusetts Institute of Technology-Mechanical Engineering,1,1,1.0,1.0,"(1,3]"
Massachusetts Institute of Technology-Physics,0,2,0.0,1.0,"(5,7]"
Michigan State University-Computer Science,0,1,0.0,0.0,"(1,3]"
Michigan State University-Mathematics,0,1,0.0,0.0,"(11,17]"
Michigan State University-Physics,0,1,0.0,0.0,"(1,3]"
Mississippi State University-Chemistry,1,2,0.5,1.0,"[0,1]"
Mississippi State University-Computer Science,0,1,0.0,0.0,"[0,1]"
Mississippi State University-Mathematics,0,1,0.0,1.0,"[0,1]"
Montana State University-Chemistry,0,2,0.0,1.0,"[0,1]"
Montana State University-Computer Science,1,1,1.0,0.0,"[0,1]"
Montana State University-Mathematics,0,1,0.0,1.0,"(1,3]"
Montana State University-Physics,0,1,0.0,0.0,"[0,1]"
New Jersey Institute of Technology-Computer Science,1,1,1.0,0.0,"[0,1]"
New Jersey Institute of Technology-Mathematics,1,2,0.5,1.0,"(1,3]"
New Jersey Institute of Technology-Physics,1,1,1.0,1.0,"(1,3]"
New York University-Chemistry,0,2,0.0,0.0,"(1,3]"
New York University-Computer Science,0,1,0.0,1.0,"(1,3]"
New York University-Mathematics,1,2,0.5,0.0,"(7,11]"
North Carolina State University-Chemistry,0,1,0.0,0.0,"(3,5]"
North Carolina State University-Mathematics,0,2,0.0,1.0,"(5,7]"
North Carolina State University-Physics,0,1,0.0,0.0,"(1,3]"
North Dakota State University-Computer Science,0,2,0.0,,
Northeastern University-Chemistry,0,1,0.0,0.0,"[0,1]"
Northeastern University-Computer Science,0,1,0.0,1.0,"(1,3]"
Northeastern University-Physics,0,1,0.0,1.0,"(1,3]"
Northwestern University-Computer Science,0,1,0.0,0.0,"(1,3]"
