seminar_id,university,discipline,condition,total_speakers,unique_speakers,speakers_from_db,urm_from_db,black_from_db,hispanic_from_db,female_from_db,pct_from_db,pct_urm_from_db,pct_black_from_db,pct_hispanic_from_db,pct_female_from_db,any_from_db,any_urm_from_db,any_black_from_db,any_hispanic_from_db,any_female_from_db
f2b1b5-5cc455-33,University of North Carolina at Chapel Hill,Chemistry,control,17,17,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
f2e0a0-11ac28-19,University of Delaware,Physics,treatment,11,11,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
f3094b-4b72ac-3c,Brown University,Chemistry,control,5,5,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
f377dd-fe6ad1-21,Cornell University,Computer Science,control,25,25,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
f3aae2-5a4990-f0,Carnegie Mellon University,Chemistry,control,9,9,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
f3b23d-8e0575-6d,Michigan State University,Mathematics,control,25,25,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
f3fa97-5a82a5-da,Northeastern University,Physics,treatment,2,2,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
f4354b-15ffa3-1f,Carnegie Mellon University,Mathematics,treatment,8,8,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
f46e55-5424af-36,Virginia Commonwealth University,Mathematics,treatment,13,12,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
f49479-d292fc-f9,University of Arizona,Mathematics,treatment,1,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
f4a838-4bd3a5-33,University of Washington,Computer Science,treatment,25,24,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
f4f844-255911-54,University of Wisconsin-Madison,Physics,control,5,5,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
f52613-d884a6-ca,Rutgers University-New Brunswick,Physics,control,38,38,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
f5642d-489f33-d4,University of Texas at El Paso,Computer Science,control,3,3,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
f5a5a6-ca5a79-69,Columbia University,Physics,treatment,14,14,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
f60386-02bb44-e5,Cornell University,Computer Science,control,5,5,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
f65fb2-cae935-9f,University of Minnesota,Mathematics,treatment,17,13,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
f663e2-cb5cc5-57,"University of California, Berkeley",Chemistry,treatment,2,2,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
