department,condition,clicked,total_clicks,num_emails
Johns Hopkins University-Chemistry,control,1,2,1
Massachusetts Institute of Technology-Chemistry,treatment,0,0,1
University of Kentucky-Mathematics,control,0,0,1
Dartmouth College-Physics,control,0,0,1
Johns Hopkins University-Mathematics,control,1,2,1
Ohio State University-Physics,treatment,0,0,1
University of Hawaii at Manoa-Physics,control,0,0,1
University of Michigan-Chemistry,treatment,0,0,1
Tulane University-Computer Science,control,0,0,1
University of Tennessee-Physics,control,0,0,1
New York University-Physics,treatment,0,0,1
University of Arizona-Physics,control,1,1,1
Washington State University-Physics,treatment,1,3,1
Johns Hopkins University-Mechanical Engineering,control,0,0,1
University of Illinois Urbana-Champaign-Mechanical Engineering,treatment,1,4,1
University of South Carolina-Mathematics,control,0,0,1
Carnegie Mellon University-Mathematics,treatment,0,0,1
University of Colorado Boulder-Physics,control,0,0,1
Tulane University-Chemistry,control,0,0,1
Pennsylvania State University-Physics,control,0,0,1
University of Notre Dame-Mathematics,treatment,1,1,1
Pennsylvania State University-Mathematics,control,0,0,1
Rice University-Mathematics,treatment,0,0,1
Georgia Institute of Technology-Chemistry,treatment,0,0,1
University of Connecticut-Physics,treatment,1,4,1
University of New Mexico-Computer Science,treatment,0,0,1
University of Texas at Dallas-Mathematics,treatment,0,0,1
Princeton University-Chemistry,treatment,0,0,1
University of Utah-Chemistry,treatment,0,0,1
Rensselaer Polytechnic Institute-Mathematics,treatment,0,0,1
University of Alabama at Birmingham-Mathematics,control,0,0,1
Arizona State University-Chemistry,control,0,0,1
University of Tennessee-Mathematics,control,0,0,1
Boston University-Computer Science,treatment,0,0,1
Harvard University-Physics,treatment,0,0,1
University of Illinois Chicago-Mathematics,control,0,0,1
University of Illinois Chicago-Mechanical Engineering,treatment,0,0,1
University of Kansas-Chemistry,control,0,0,1
University of Texas at Arlington-Chemistry,treatment,1,1,1
"University of California, Santa Barbara-Chemistry",treatment,0,0,1
University of Virginia-Physics,control,0,0,1
"University of California, Davis-Physics",control,0,0,1
"University of Maryland, College Park-Mathematics",control,0,0,1
Brown University-Mechanical Engineering,treatment,0,0,1
University of Nebraska-Lincoln-Mathematics,control,0,0,1
Purdue University-Mathematics,treatment,1,4,1
