seminar_id,university,discipline,department,condition,total_speakers,speakers_with_demographics,num_urm,num_black,num_hispanic,num_native_american,num_female,num_male,num_white,num_asian,pct_urm,pct_black,pct_hispanic,pct_native_american,pct_female,pct_male,pct_white,pct_asian,has_any_urm,has_any_black,has_any_hispanic,has_any_native_american,has_any_female,has_fall_speakers,has_spring_speakers,fall_total_speakers,fall_speakers_with_demographics,fall_num_urm,fall_num_black,fall_num_hispanic,fall_num_female,fall_pct_urm,fall_pct_black,fall_pct_hispanic,fall_pct_female,spring_total_speakers,spring_speakers_with_demographics,spring_num_urm,spring_num_black,spring_num_hispanic,spring_num_female,spring_pct_urm,spring_pct_black,spring_pct_hispanic,spring_pct_female,num_speakers_with_phd_year,pct_speakers_with_phd_year,mean_years_from_phd,median_years_from_phd,min_years_from_phd,max_years_from_phd,num_current_students,pct_current_students,treatment,department_std,bin_category,batch_number,total_faculty,urm_faculty,women_faculty,frac_urm_faculty,frac_women_faculty,dept_ranking,general_ranking,missing_dept_rank,num_recipients,total_peer_departments,total_urm_peer_faculty,bin_7_11,bin_1_3,bin_17_26,bin_3_5,bin_5_7,bin_0_1,batch_1,batch_2,batch_3,batch_4,batch_5,batch_6,batch_7,batch_8,batch_9,disc_mathematics,disc_physics,disc_computer_science,disc_mechanical_engineering
744237-956432-ed,Washington University in St. Louis,Mechanical Engineering,Washington University in St. Louis-Mechanical Engineering,control,15,15,0,0,0,0,4,11,7,8,0.0,0.0,0.0,0.0,26.666666666666668,73.33333333333333,46.666666666666664,53.333333333333336,0,0,0,0,1,1,1,9,9,0,0,0,2,0.0,0.0,0.0,22.22222222222222,6,6,0,0,0,2,0.0,0.0,0.0,33.33333333333333,13,86.66666666666667,20.692307692307693,17.0,9.0,47.0,0,0.0,0,Washington University in St. Louis-Mechanical Engineering,"[0,1]",4.0,21,1,4,0.047619047619047616,0.19047619047619047,50.0,27.0,0,1,40,32,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
744813-38e23f-5f,University of Rochester,Chemistry,University of Rochester-Chemistry,treatment,3,3,0,0,0,0,0,3,0,3,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3,3,0,0,0,0,0.0,0.0,0.0,0.0,3,100.0,11.333333333333334,11.0,9.0,14.0,0,0.0,1,University of Rochester-Chemistry,"(3,5]",4.0,20,1,8,0.05,0.4,62.0,49.0,0,2,40,31,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
74583a-8eec85-19,University of Illinois Chicago,Physics,University of Illinois Chicago-Physics,treatment,2,2,0,0,0,0,0,2,2,0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,2,0,0,0,0,0.0,0.0,0.0,0.0,2,100.0,12.5,12.5,3.0,22.0,0,0.0,1,University of Illinois Chicago-Physics,"(3,5]",7.0,25,2,5,0.08,0.2,76.0,75.0,0,2,40,32,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
749093-e8bd02-08,Northeastern University,Computer Science,Northeastern University-Computer Science,treatment,23,23,1,0,1,0,2,21,16,6,4.3478260869565215,0.0,4.3478260869565215,0.0,8.695652173913043,91.30434782608695,69.56521739130434,26.08695652173913,1,0,1,0,1,1,1,9,9,1,0,1,1,11.11111111111111,0.0,11.11111111111111,11.11111111111111,14,14,0,0,0,1,0.0,0.0,0.0,7.142857142857142,23,100.0,7.266666666666667,3.0,1.0,35.0,8,34.78260869565217,1,Northeastern University-Computer Science,"(1,3]",7.0,109,3,29,0.027522935779816515,0.26605504587155965,29.0,53.0,0,3,40,34,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
74b902-c800c6-1b,University of Virginia,Mathematics,University of Virginia-Mathematics,control,25,25,1,1,0,0,0,25,23,1,4.0,4.0,0.0,0.0,0.0,100.0,92.0,4.0,1,1,0,0,0,1,1,11,11,1,1,0,0,9.090909090909092,9.090909090909092,0.0,0.0,14,14,0,0,0,0,0.0,0.0,0.0,0.0,12,48.0,39.833333333333336,54.0,11.0,55.0,0,0.0,0,University of Virginia-Mathematics,"(7,11]",1.0,34,0,9,0.0,0.2647058823529412,43.0,26.0,0,10,40,39,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
7501f8-6d6731-43,Oklahoma State University-Stillwater,Mathematics,Oklahoma State University-Stillwater-Mathematics,control,5,5,0,0,0,0,0,5,3,2,0.0,0.0,0.0,0.0,0.0,100.0,60.0,40.0,0,0,0,0,0,1,1,1,1,0,0,0,0,0.0,0.0,0.0,0.0,4,4,0,0,0,0,0.0,0.0,0.0,0.0,5,100.0,5.0,3.0,2.0,10.0,2,40.0,0,Oklahoma State University-Stillwater-Mathematics,"(7,11]",10.0,34,0,7,0.0,0.20588235294117646,101.0,120.0,0,1,40,29,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
751c7d-3d4e3c-1a,North Carolina State University,Mathematics,North Carolina State University-Mathematics,treatment,12,12,3,0,3,0,0,12,9,0,25.0,0.0,25.0,0.0,0.0,100.0,75.0,0.0,1,0,1,0,0,1,0,12,12,3,0,3,0,25.0,0.0,25.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,9,75.0,9.11111111111111,6.0,4.0,25.0,0,0.0,1,North Carolina State University-Mathematics,"(5,7]",3.0,55,1,12,0.01818181818181818,0.21818181818181817,53.0,59.0,0,3,40,34,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
7595a3-c4503a-47,California Institute of Technology,Chemistry,California Institute of Technology-Chemistry,control,8,8,0,0,0,0,3,5,6,2,0.0,0.0,0.0,0.0,37.5,62.5,75.0,25.0,0,0,0,0,1,1,1,4,4,0,0,0,2,0.0,0.0,0.0,50.0,4,4,0,0,0,1,0.0,0.0,0.0,25.0,8,100.0,18.75,13.0,9.0,41.0,0,0.0,0,California Institute of Technology-Chemistry,"(3,5]",9.0,44,2,9,0.045454545454545456,0.20454545454545456,1.0,7.0,0,4,40,26,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
759c2d-b4200b-0a,University of Connecticut,Physics,University of Connecticut-Physics,treatment,19,19,3,0,3,0,2,17,12,4,15.789473684210526,0.0,15.789473684210526,0.0,10.526315789473683,89.47368421052632,63.1578947368421,21.052631578947366,1,0,1,0,1,1,1,8,8,0,0,0,1,0.0,0.0,0.0,12.5,11,11,3,0,3,1,27.27272727272727,0.0,27.27272727272727,9.090909090909092,19,100.0,22.263157894736842,27.0,2.0,54.0,0,0.0,1,University of Connecticut-Physics,"(3,5]",9.0,34,1,7,0.029411764705882353,0.20588235294117646,82.0,56.0,0,2,40,17,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
75b622-32b250-cf,Kent State University,Physics,Kent State University-Physics,control,15,15,1,0,1,0,1,14,8,6,6.666666666666667,0.0,6.666666666666667,0.0,6.666666666666667,93.33333333333333,53.333333333333336,40.0,1,0,1,0,1,1,1,11,11,0,0,0,1,0.0,0.0,0.0,9.090909090909092,4,4,1,0,1,0,25.0,0.0,25.0,0.0,12,80.0,12.666666666666666,4.0,1.0,36.0,3,25.0,0,Kent State University-Physics,"(1,3]",8.0,25,0,5,0.0,0.2,122.0,128.0,0,3,40,21,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
75bcf9-234469-58,"University of California, Los Angeles",Physics,"University of California, Los Angeles-Physics",treatment,5,5,0,0,0,0,2,3,5,0,0.0,0.0,0.0,0.0,40.0,60.0,100.0,0.0,0,0,0,0,1,1,1,3,3,0,0,0,1,0.0,0.0,0.0,33.33333333333333,2,2,0,0,0,1,0.0,0.0,0.0,50.0,4,80.0,6.333333333333333,8.0,2.0,9.0,1,25.0,1,"University of California, Los Angeles-Physics","(11,17]",7.0,58,1,9,0.017241379310344827,0.15517241379310345,17.0,16.0,0,8,40,51,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
